NL_Query,GT_Glossary
Can yu share what was the Assets last year?,Assets
Can u tell me what was the Liabilities last year?,Liabilities
Can yu share what was the Equity last year?,Equity
Can yu share what was the Current Assets last year?,Current Assets
What's was the Non-Current Assets last quarter?,Non-Current Assets
Wat was the Current Liabilities last quarter?,Current Liabilities
What's was the Non-Current Liabilities last quarter?,Non-Current Liabilities
Can u tell me what was the Working Capital last year?,Working Capital
Give me Net Worth figure for last quater?,Net Worth
Can you tell me what is the Revenue last year?,Revenue
I wanna know the Cost of Goods Sold (COGS) for the last quarter.,Cost of Goods Sold (COGS)
Tell me the Gross Profit last yr?,Gross Profit
I wanna know the Operating Expenses for the last quarter.,Operating Expenses
Give me Operating Profit (EBIT) figure for last quater?,Operating Profit (EBIT)
What's was the EBITDA last quarter?,EBITDA
I wanna know the Net Profit (PAT) for the last quarter.,Net Profit (PAT)
Can you pls tel me Earnings Per Share (EPS) from last year?,Earnings Per Share (EPS)
Give me Operating Cash Flow figure for last quater?,Operating Cash Flow
Can yu share what was the Investing Cash Flow last year?,Investing Cash Flow
Can you tell me what is the Financing Cash Flow last year?,Financing Cash Flow
Can you pls tel me Free Cash Flow from last year?,Free Cash Flow
Wat was the Depreciation last quarter?,Depreciation
Tell me the Amortization last yr?,Amortization
Can you pls tel me Accruals from last year?,Accruals
Give me Provisions figure for last quater?,Provisions
Wat was the Contingent Liabilities last quarter?,Contingent Liabilities
I wanna know the Gross Profit Margin for the last quarter.,Gross Profit Margin
Can you pls tel me Operating Profit Margin from last year?,Operating Profit Margin
What's was the Net Profit Margin last quarter?,Net Profit Margin
I wanna know the Return on Assets (ROA) for the last quarter.,Return on Assets (ROA)
Can u tell me what was the Return on Equity (ROE) last year?,Return on Equity (ROE)
How much was Return on Capital Employed (ROCE) last quater?,Return on Capital Employed (ROCE)
Wat was the EBITDA Margin last quarter?,EBITDA Margin
Can you pls tel me Current Ratio from last year?,Current Ratio
Give me Quick Ratio (Acid Test) figure for last quater?,Quick Ratio (Acid Test)
What's was the Cash Ratio last quarter?,Cash Ratio
Wat was the Inventory Turnover last quarter?,Inventory Turnover
I wanna know the Receivables Turnover for the last quarter.,Receivables Turnover
Wat was the Payables Turnover last quarter?,Payables Turnover
I wanna know the Asset Turnover for the last quarter.,Asset Turnover
Can you pls tel me Working Capital Turnover from last year?,Working Capital Turnover
Tell me the Debt-to-Equity Ratio last yr?,Debt-to-Equity Ratio
Can u tell me what was the Debt Ratio last year?,Debt Ratio
Wat was the Interest Coverage Ratio last quarter?,Interest Coverage Ratio
How much was Equity Ratio last quater?,Equity Ratio
Wat was the Capital Gearing Ratio last quarter?,Capital Gearing Ratio
Tell me the Price-to-Earnings (P/E) Ratio last yr?,Price-to-Earnings (P/E) Ratio
Can u tell me what was the Price-to-Book (P/B) Ratio last year?,Price-to-Book (P/B) Ratio
I wanna know the Dividend Yield for the last quarter.,Dividend Yield
Can yu share what was the Dividend Payout Ratio last year?,Dividend Payout Ratio
How much was Enterprise Value (EV) last quater?,Enterprise Value (EV)
Wat was the EV/EBITDA last quarter?,EV/EBITDA
"Wat was the Property, Plant and Equipment (PPE) last quarter?","Property, Plant and Equipment (PPE)"
Can you pls tel me Intangible Assets from last year?,Intangible Assets
Give me Investment Property figure for last quater?,Investment Property
Tell me the Financial Assets last yr?,Financial Assets
What's was the Inventories last quarter?,Inventories
Wat was the Deferred Tax Assets last quarter?,Deferred Tax Assets
Wat was the Borrowings last quarter?,Borrowings
I wanna know the Trade Payables for the last quarter.,Trade Payables
Can u tell me what was the Deferred Tax Liabilities last year?,Deferred Tax Liabilities
Give me Other Financial Liabilities figure for last quater?,Other Financial Liabilities
Can u tell me what was the Share Capital last year?,Share Capital
Can you tell me what is the Other Equity / Reserves & Surplus last year?,Other Equity / Reserves & Surplus
