NL_Query,GT_Glossary,Predicted_Glossary,Similarity_Score
Can yu share what was the Assets last year?,Assets,Current Assets,1.5251
Can u tell me what was the Liabilities last year?,Liabilities,Current Liabilities,2.8112
Can yu share what was the Equity last year?,Equity,Equity,0.3168
Can yu share what was the Current Assets last year?,Current Assets,Current Assets,2.2131
What's was the Non-Current Assets last quarter?,Non-Current Assets,Non-Current Assets,2.7299
Wat was the Current Liabilities last quarter?,Current Liabilities,Current Liabilities,2.548
What's was the Non-Current Liabilities last quarter?,Non-Current Liabilities,Non-Current Liabilities,2.7967
Can u tell me what was the Working Capital last year?,Working Capital,Working Capital,2.5386
Give me Net Worth figure for last quater?,Net Worth,Net Worth,1.343
Can you tell me what is the Revenue last year?,Revenue,Revenue,2.1478
I wanna know the Cost of Goods Sold (COGS) for the last quarter.,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),2.4921
Tell me the Gross Profit last yr?,Gross Profit,Gross Profit Margin,2.2871
I wanna know the Operating Expenses for the last quarter.,Operating Expenses,Operating Expenses,1.8171
Give me Operating Profit (EBIT) figure for last quater?,Operating Profit (EBIT),Operating Profit (EBIT),2.3535
What's was the EBITDA last quarter?,EBITDA,EBITDA,2.6369
I wanna know the Net Profit (PAT) for the last quarter.,Net Profit (PAT),Net Profit (PAT),2.4697
Can you pls tel me Earnings Per Share (EPS) from last year?,Earnings Per Share (EPS),Earnings Per Share (EPS),2.306
Give me Operating Cash Flow figure for last quater?,Operating Cash Flow,Operating Cash Flow,1.643
Can yu share what was the Investing Cash Flow last year?,Investing Cash Flow,Investing Cash Flow,1.9686
Can you tell me what is the Financing Cash Flow last year?,Financing Cash Flow,Financing Cash Flow,2.8257
Can you pls tel me Free Cash Flow from last year?,Free Cash Flow,Free Cash Flow,2.2693
Wat was the Depreciation last quarter?,Depreciation,Depreciation,1.8746
Tell me the Amortization last yr?,Amortization,Amortization,1.4112
Can you pls tel me Accruals from last year?,Accruals,Current Liabilities,1.5193
