query,label,score
How much money did we bring in from sales this quarter?,Revenue can be defined as Income from sales of goods or services.,1
How much money did we bring in from sales this quarter?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
How much money did we bring in from sales this quarter?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
How much money did we bring in from sales this quarter?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What did it cost us to make the stuff we sold last month?,Cost of Goods Sold (COGS) can be defined as Direct costs of producing goods sold.,1
What did it cost us to make the stuff we sold last month?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
What did it cost us to make da stuff we sold last month?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
What did it cost us to make the stuff we sold last month?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
What did it cost us to make the stuff we sold last month?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"After paying for production, how much did we keep last year?",Gross Profit can be defined as Revenue - COGS.,1
"After paying 4 production, how much did we keep last year?",Gross Profit can be defined as Revenue - COGS.,1
"After paying for production, how much did we keep last year?",Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
"After paying 4 production, how much did we keep last year?",Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
"After paying for production, how much did we keep last year?",Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
"After paying for production, how much we did keep last year?",Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
"After paying for production, how much did we keep last year?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"After paying for production, how much we did keep last year?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What are we spending to keep the business running this year?,"Operating Expenses can be defined as Expenses incurred in the normal course of business (e.g., salaries, rent).",1
What are we spending to keep da business running this year?,"Operating Expenses can be defined as Expenses incurred in the normal course of business (e.g., salaries, rent).",1
What are we spending to keep the business running this year?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
What are we spending to keep the business running this year?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
What are we spending to keep da business running this year?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
What are we spending to keep the business running this year?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much did our main operations earn us in the last quarter?,Operating Profit (EBIT) can be defined as Earnings before interest and tax.,1
How much did our main operations earn us in the last quarter?,Return on Equity (ROE) can be defined as Profitability for owners.,0
How much did our main operations earn us in the last quarter?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
How much did our main operations earn us in da last quarter?,"Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
How much did our main operations earn us in the last quarter?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"What’s our profit before taxes, interest, and equipment costs this month?","EBITDA can be defined as Earnings before interest, tax, depreciation, and amortization.",1
"What’s our profit be4e taxes, interest, and equipment costs this month?","EBITDA can be defined as Earnings before interest, tax, depreciation, and amortization.",1
"What’s our profit before taxes, interest, and equipment costs this month?",Return on Equity (ROE) can be defined as Profitability for owners.,0
"What’s our proffit before taxes, interest, and equipment costs this month?",Return on Equity (ROE) can be defined as Profitability for owners.,0
"What’s our profit before taxes, interest, and equipment costs this month?","Property, Plant and Equipment (PPE) can be defined as Tangible items held for use in the production or supply of goods or services, or for administrative purposes (Ind AS 16).",0
"What’s our profit before taxes, interest, and equipment costs this month?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"What’s our provit before taxes, interest, and equipment costs this month?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"What’s our proffit be4e taxes, interest, and equipment costs this month?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"After all expenses, how much did we end up with last year?","Net Profit (PAT) can be defined as Profit after all expenses, interest, and tax.",1
"After all expenses, how much we did end up with last year?","Net Profit (PAT) can be defined as Profit after all expenses, interest, and tax.",1
"After all expenses, how much did we end up with last year?",Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
"After all expenses, how much did we end up with last year?",Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
"After all expenses, how much did we end up with last year?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"After all expenses, how much we did end up with last year?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"After all expenses, how much did we end up with last yr?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much profit did each share make last quarter?,Earnings Per Share (EPS) can be defined as Net profit divided by the number of outstanding shares.,1
How much profit did each share make last quarter?,Earnings Per Share (EPS) can be defined as Profit attributable per share.,1
How much provit did each share make last quarter?,Earnings Per Share (EPS) can be defined as Net profit divided by the number of outstanding shares.,1
How much provit did each share make last quarter?,Earnings Per Share (EPS) can be defined as Profit attributable per share.,1
How much profit did each share make last quarter?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
How much profit did each share make last quarter?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
How much profit did each share make last quarter?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much proffit did each share make last quarter?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much cash came in from our operations in April?,Operating Cash Flow can be defined as Cash generated from core business operations.,1
How much cash came in from our operations in April?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
How much cash came in from our operations in April?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
How much cash came in from our operations in April?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What did we spend on new equipment or investments last year?,"Investing Cash Flow can be defined as Cash used in or generated from investments (e.g., asset purchase, sale).",1
What did we spend on new equipment or investments last year?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
What did we spend on new equipment or investments last year?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
What did we spend on new equipment or investments last year?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Did we get any cash from loans or investors in the first quarter?,"Financing Cash Flow can be defined as Cash from borrowing, issuing shares, or dividend payments.",1
Did we get any cash from loans or inves2rs in the first quarter?,"Financing Cash Flow can be defined as Cash from borrowing, issuing shares, or dividend payments.",1
Did we get any cash from loans or investors in the first quarter?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
Did we get any cash from loans or investors in the first quarter?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
Did we get any cash from loans or investors in the first quarter?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Did we get any cash from loans or investors in da first quarter?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
Did we get any cash from loans or inves2rs in the first quarter?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
"After buying what we needed, how much cash is left this year?",Free Cash Flow can be defined as Cash available after capital expenditures (Operating Cash Flow - CapEx).,1
"After buying what we needed, how much cash is left this year?",Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
"After buying what we needed, how mch cash is left this year?",Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
"After buying what we needed, how much cash is left this year?",Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
"After buying what we needed, how mch cash is left this year?",Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
"After buying what we needed, how much cash is left this year?","Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
How much are we writing off for old equipment this month?,Depreciation can be defined as Reduction in asset value over time due to use or obsolescence.,1
How much are we writing off 4 old equipment this month?,Depreciation can be defined as Reduction in asset value over time due to use or obsolescence.,1
How much are we writing off for old equipment this month?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
How much are we writing ovf 4 old equipment this month?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
How much are we writing off for old equipment this month?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
How much are we writing off for old equipment this month?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What’s the cost we’re spreading out for things like patents?,Amortization can be defined as Similar to depreciation but applied to intangible assets.,1
What’s the cost we’re spreading out for things like patents?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
What’s the cost we’re spreading out for things like patents?,EV/EBITDA can be defined as Company valuation relative to EBITDA,0
What’s the cost we’re spreading out 4 things like patents?,EV/EBITDA can be defined as Company valuation relative to EBITDA,0
What’s the cost we’re spreading out for things like patents?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0
What bills have we noted but not paid yet as of last month?,Accruals can be defined as Revenues or expenses recognized before cash is exchanged.,1
What bills have we noted but not paid yet as of last month?,Return on Assets (ROA) can be defined as How efficiently assets generate profit.,0
What bills have we noted but not paid yet as of last month?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0
