NL_Query,GT_Glossary,Predicted_Glossary,Similarity_Score
Can yu share what was the Assets last year?,Assets,Current Assets,-7.7502
Can u tell me what was the Liabilities last year?,Liabilities,Current Liabilities,2.0672
Can yu share what was the Equity last year?,Equity,Equity,-10.3681
Can yu share what was the Current Assets last year?,Current Assets,Current Assets,-2.2529
What's was the Non-Current Assets last quarter?,Non-Current Assets,Non-Current Assets,2.9399
Wat was the Current Liabilities last quarter?,Current Liabilities,Current Liabilities,-0.2632
What's was the Non-Current Liabilities last quarter?,Non-Current Liabilities,Non-Current Liabilities,3.1812
Can u tell me what was the Working Capital last year?,Working Capital,Working Capital,-1.1451
Give me Net Worth figure for last quater?,Net Worth,Net Worth,-7.3038
Can you tell me what is the Revenue last year?,Revenue,Revenue,-2.1026
I wanna know the Cost of Goods Sold (COGS) for the last quarter.,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),2.2672
Tell me the Gross Profit last yr?,Gross Profit,Gross Profit,-3.8288
I wanna know the Operating Expenses for the last quarter.,Operating Expenses,Operating Expenses,-3.7583
Give me Operating Profit (EBIT) figure for last quater?,Operating Profit (EBIT),Operating Profit (EBIT),-0.7685
What's was the EBITDA last quarter?,EBITDA,EBITDA,-1.2953
I wanna know the Net Profit (PAT) for the last quarter.,Net Profit (PAT),Net Profit (PAT),0.7179
Can you pls tel me Earnings Per Share (EPS) from last year?,Earnings Per Share (EPS),Earnings Per Share (EPS),-0.9006
Give me Operating Cash Flow figure for last quater?,Operating Cash Flow,Operating Cash Flow,-3.822
Can yu share what was the Investing Cash Flow last year?,Investing Cash Flow,Investing Cash Flow,-2.0291
Can you tell me what is the Financing Cash Flow last year?,Financing Cash Flow,Financing Cash Flow,3.661
Can you pls tel me Free Cash Flow from last year?,Free Cash Flow,Free Cash Flow,-2.6226
Wat was the Depreciation last quarter?,Depreciation,Depreciation,-3.9721
Tell me the Amortization last yr?,Amortization,Amortization,-4.7396
Can you pls tel me Accruals from last year?,Accruals,Accruals,-7.2508
